`,holderstaffflag,policyriskcommencementdate,policytechnicalid_m,holdertechnicalid_m,contactcity_m,contactareatype_m,policy_annualized_premium,contactpostcode_m,policybenefitterm,policynumber_m,agentownlifeflag,channeltype_m,contactstate_m,banktechnicalid_m,channeltechnicalid_m,serviceregionnameops_m,edc,requirementnonmedicalflag,underwritingdecisionstatus_m,policytype_m,productplan,um_bdm_code_m,premiumpaymentfrequency_m,servicebranchops_m,policytypesub_m,policy_sum_assured,hniflag,underwritingexpressflag,vedc,productid_m,requirementmedicalflag,nomineerelation_m,holdermaritalstatus,holdereducation,holdercountry_m,beneficiaryrelation_m,lifeassuredrelation_m,lifeassuredgender_m,natureofduties,holdernationalite,holderqualification,gogreenflag,preferredlanguage_m,holder_annual_income,panverified,holderoccupation,premiumpaymentfrequency
69,No,29/1/21,dc51e40f1c,76f7807a7e,a565f9,2483,400000,194794,5,e3f88f8684,N,331f,b629fd,7e495a,d877fb1d78,b629,0,1,edce,c4e8,Plan Gold Cover - Series 3,5512353,738a,b0a11d,c4e8,500000,Y,0,0,2a44,0,c7,Married,School (upto 10th),INDIA,a9,a9,9c,AGRICULTURIST,,SSC,N,ENGLISH,250000,N,Agriculturist,Single
70,No,1/1/21,7b692622b7,69ca93cb6c,b9b1c0,58,17349.6,249945,20,c1f6e8160f,N,331f,766048,7e495a,144041d16e,047e,0,1,edce,2ed4,Series 3,5943561,37bf,c6f43d,66c3,250000,N,0,0,7d8e,0,3d,Married,Graduate,INDIA,a9,a9,aa,HELPER,,Graduate,N,GUJARATI,250000,N,Service,Monthly
71,No,21/1/21,b4bc21975a,0bbfdb4679,c20544,58,102250,257520,12,036cd02b6c,,e62e,f114ce,76f1e3,2082785c18,eca2,0,1,edce,2ed4,,9940899,d4cd,f6e22c,803,715000,N,0,0,671a,0,fc,Married,Graduate,INDIA,a9,a9,9c,ACCOUNTS ASSOCIATE,2,Graduate,N,ENGLISH,600000,N,Service,Yearly
72,No,6/1/21,77f54c6169,62c610f821,aa240e,58,100000,299852,12,7058a3ad4b,N,e62e,f114ce,b53a17,2f30aab128,eca2,0,1,edce,c4e8,Series 2,5682594,d4cd,9dc9f7,c4e8,1000000,N,0,0,efc5,0,46,Married,Graduate,INDIA,a9,a9,aa,OWNER,,Graduate,N,HINDI,420000,N,Business,Yearly
73,No,25/1/21,410eec201f,65d326cd5d,5b58d5,58,300000,248559,10,09f866dd41,N,e62e,766048,b32f79,d307102824,047e,0,1,edce,c4e8,Plan Gold Cover - Series 3,5188309,d4cd,cf21a5,c4e8,3000000,Y,0,0,2a44,0,1f,Married,Graduate,INDIA,a9,a9,aa,PARTNER,2,Graduate,N,ENGLISH,900000,Y,Business,Yearly
74,No,7/1/21,591107ac0a,b1c8c610e9,184985,58,240000,265515,15,b28c29f338,N,331f,766048,7e495a,ce09e94842,047e,0,1,edce,c4e8,Series 2,5824491,d4cd,8ea8fc,c4e8,0,N,0,0,2734,0,3d,Married,PG / Professional,INDIA,a9,a9,aa,RETIRED,,Post Graduate,N,GUJARATI,1500000,N,Retired,Yearly
75,No,4/1/21,74c7fab954,6b6ae591ac,c20544,58,102250,257575,15,0dfbad59c9,N,f3e3,f114ce,b27d40,7c0c4179c5,eca2,0,1,edce,2ed4,Series 3,5,d4cd,6a6446,803,840000,N,0,0,56ca,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,MANAGER,,Post Graduate,N,ENGLISH,650000,N,Service,Yearly
76,No,2/1/21,024743d5bb,2854343976,b2a2e2,58,20669.84,847589,,5ebe0fd944,N,e62e,aedf2f,4ea617,17df63eb49,c586,0,0,a48c,2ed4,Series 2,5261779,d4cd,5d949d,5743,1300000,N,0,0,81db,0,1f,Married,Graduate,INDIA,a9,a9,aa,JUNIOR ENGINEER,,Graduate,N,ENGLISH,700000,N,Service,Yearly
77,No,4/1/21,ce70df7caf,8b1d997b66,d96a8f,2483,50000,177558,18,8ede9c4ec0,N,e62e,b629fd,338da1,8f26447699,b629,0,0,a48c,c4e8,Series 3,5629997,d4cd,bda6d4,c4e8,500000,N,0,0,d2a9,0,c7,Married,Intermediate (10+2),INDIA,a9,a9,aa,PROPRIETOR,,HSC,N,TELGU,360000,N,Business,Yearly
78,No,5/1/21,6ed3dbe9f7,cb1e465e50,b94056,58,102250,729251,15,ac5f95aaaa,N,331f,b78361,7e495a,2e0bc916c2,f7b0,0,1,edce,2ed4,Series 3,9905454,d4cd,e6138f,803,770000,N,0,0,56ca,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,M P INTA BHATTHA,,SSC,N,HINDI,480000,N,Business,Yearly
79,No,25/1/21,b0ac02cdf9,3c9cd4f30d,4b1c49,2483,16382.64,778923,21,d5487d812e,Y,331f,b78361,7e495a,efad87180c,f7b0,0,1,edce,2ed4,Series 3,9935029,bf55,ff0397,,300000,N,0,0,f6f8,0,c7,Married,School (upto 10th),INDIA,a9,a9,aa,SMALL CONTRACUTION SAFAITY TAN,,SSC,N,HINDI,240000,N,Self-Employed,Half yearly
80,No,20/1/21,bc48424302,87b93325f5,4fcfa5,2483,200000,809559,12,9c9bd88328,N,331f,acb844,7e495a,306d0b1fb2,c586,0,1,edce,c4e8,Series 2,94488947,d4cd,de0e06,c4e8,2000000,Y,0,0,,1,1f,Married,,INDIA,a9,a9,aa,APPLICATION PROGRAMMER,,Post Graduate/Professional,N,ENGLISH,1200000,N,Service,Yearly
81,No,13/1/21,bafbfa430c,98447d1630,fbbc1d,58,5000,804772,15,e69884c50d,N,331f,acb844,7e495a,53591e6862,c586,0,1,edce,2ed4,Series 2,5723709,d4cd,2df4bf,5743,275000,N,0,0,b68b,0,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,600000,N,Housewife,Yearly
82,No,7/1/21,efea968792,c25912b5e3,26a6de,2483,75000,261879,21,b805de0ac0,N,e62e,766048,62498e,9eba22f784,047e,0,1,a48c,c4e8,Series 3,9983646,d4cd,dda782,c4e8,750000,N,0,0,d2a9,0,3d,Married,Graduate,INDIA,a9,a9,aa,PROPRIOTOR,,Graduate,N,GUJARATI,600000,N,Business,Yearly
83,No,4/1/21,989f204b75,516f5aeab2,184985,58,100000,267865,20,54af010992,N,331f,766048,7e495a,e884364a51,,0,1,edce,c4e8,Series 2,5687429,d4cd,4acef8,c4e8,1000000,N,0,0,efc5,1,1f,Married,School (upto 10th),INDIA,a9,a9,aa,SELLING TWO WHEELER VEHICLES,,SSC,N,ENGLISH,960000,N,Business,Yearly
84,No,12/1/21,d2429616e7,798a610cbd,c8c19b,58,8012.2,201553,20,cad45f59bb,N,a3d7,766048,7e495a,1ace0f1ae4,047e,0,1,edce,2ed4,Level Cover - Series 4,5,d4cd,cf21a5,5743,10000000,N,0,0,3.20E+07,1,1b,Married,PG / Professional,INDIA,a9,a9,9c,SMEAG MANAGER,,CA,N,ENGLISH,750000,N,Service,Yearly
85,No,6/1/21,50ed5a2e94,ca8999db55,184985,58,300000,265591,15,6fe8cdc1a0,N,331f,766048,7e495a,5f5e86fe4e,047e,0,1,edce,c4e8,Series 2,5494137,d4cd,c228cf,c4e8,0,Y,0,0,2734,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,ENGINEERS,,Post Graduate,N,ENGLISH,2400000,N,Service,Yearly
86,No,1/1/21,19b53fe92b,f4f10d3a02,aa240e,58,30000,299451,10,de4efd7a75,N,e62e,f114ce,d8aec1,0935a8ef68,eca2,0,0,a48c,c4e8,Plan S - Series 2,5062913,d4cd,9dc9f7,c4e8,300000,N,0,0,e548,0,1b,Married,School (upto 10th),INDIA,a9,a9,9c,HOUSEWIFE,,Below SSC,N,HINDI,420000,N,Housewife,Yearly
87,No,12/1/21,ac821e952d,2b2bdfbaa0,324b21,58,74250.38,122959,15,b64ce128da,N,331f,b629fd,7e495a,5185f4de6f,b629,0,1,edce,2ed4,,93270189,d4cd,d37e51,66c3,825000,N,0,0,f6f8,1,c7,Married,Graduate,INDIA,a9,a9,aa,PARTNER,,Graduate,N,HINDI,500000,Y,Business,Yearly
88,No,7/1/21,fbb78c3825,3771872d45,b9b1c0,2483,10003.94,249597,10,878083aad6,N,e62e,766048,0e1a0d,f25795121c,047e,0,1,edce,aaac,Series 3,9708015,d4cd,00d602,aaac,100000,N,0,0,dcf1,0,1f,Married,School (upto 10th),INDIA,a9,,aa,AGRICULTURIST,,SSC,N,GUJARATI,300000,N,Agriculturist,Yearly
89,No,21/1/21,b08ec770fe,697e602f83,380b6f,58,50000,191559,25,686ae148e2,N,331f,b629fd,7e495a,1e9b6b2814,b629,0,1,edce,c4e8,Series 2,9703137,d4cd,21afb2,c4e8,500000,N,0,0,efc5,1,12,Single,PG / Professional,INDIA,a9,a9,aa,BUSINESS,,Post Graduate,N,TELGU,300000,N,Business,Yearly
90,No,6/1/21,2a5bf5a2cc,18e98ecaa5,36a7ec,58,200000,266775,10,9b1284b0be,N,e62e,766048,d21536,a183d3ad7c,047e,0,1,edce,c4e8,Series 2,9544148,d4cd,c7df88,c4e8,0,Y,0,0,2734,0,fc,Married,Graduate,INDIA,a9,a9,aa,AGRI,,Graduate,N,GUJARATI,480000,N,Agriculturist,Yearly
91,No,18/1/21,dfe70f1899,a99fa9f078,bdeba5,2483,150000,835773,10,41d84a3386,N,331f,aedf2f,7e495a,e5d2b937a5,c586,0,1,edce,c4e8,Series 2,5103057,d4cd,ac716a,c4e8,0,Y,0,0,2734,0,3d,Married,Graduate,INDIA,a9,a9,aa,BUSINESS,,Graduate,N,ENGLISH,900000,N,Business,Yearly
92,No,14/1/21,8fd8e0246e,425a88d048,538eb3,58,50000,,8,fd7877b780,N,331f,aedf2f,7e495a,64f415842b,c586,0,1,edce,c4e8,Series 3,5350393,d4cd,929192,c4e8,500000,N,0,0,d2a9,1,c7,Married,Graduate,INDIA,a9,a9,aa,ENGINEER,,Graduate,N,HINDI,1200000,N,Service,Yearly
93,No,8/1/21,8d2a8d678d,9ee0ea9599,5e9ab8,2483,,737942,15,95cc8d8d9e,N,331f,b78361,7e495a,d6f5afc5b3,f7b0,0,1,edce,2ed4,Series 3,9923947,d4cd,81afbf,66c3,240000,N,0,0,7d8e,0,1b,Married,Graduate,INDIA,a9,a9,aa,SHOP OWNER,,Graduate,N,HINDI,245000,N,Self-Employed,Yearly
94,No,6/1/21,3146f35bbf,aee88876f2,da9107,58,200000,774576,12,f622b59969,N,e62e,b78361,2d18c7,5d3d4e13d8,f7b0,0,1,edce,c4e8,Series 2,9981924,d4cd,88af36,c4e8,2000000,N,0,0,,0,1f,Married,PG / Professional,INDIA,a9,a9,,CLUSTER HEAD,,Post Graduate,N,ENGLISH,4000000,N,Service,Yearly
95,No,15/1/21,166bba08fb,5706ae59e4,1.12E+32,58,102250,807592,12,fab6b9fb4b,N,e62e,acb844,81b1e8,3a2c1b2458,c586,0,1,edce,2ed4,Series 3,5040378,d4cd,4a3ec2,803,600000,N,0,0,56ca,0,3d,Married,PG / Professional,INDIA,a9,a9,9c,VICE PRINCIPAL,2,Post Graduate,N,HINDI,600000,N,Service,Yearly
96,No,6/1/21,db9cccfebc,a1867a7a14,161c37,2483,51125,,15,957010978d,N,e62e,b78361,4574c3,f26e92c017,f7b0,0,1,edce,2ed4,Series 3,5401952,d4cd,8a5830,803,110000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,PROPRITER,,Graduate,N,HINDI,300000,N,Business,Yearly
97,No,6/1/21,13efddf223,82acb46e68,ff1e35,2483,51125,254253,12,c80eb7d19a,N,e62e,f114ce,1649b4,b600ce19d2,eca2,0,1,edce,2ed4,Series 3,9716537,d4cd,9709ef,803,300000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,JITU STATIONERY,,Graduate,N,HINDI,397586,N,Business,Yearly
98,No,18/1/21,85bf3991c1,bf471c0d11,b2a2e2,58,100000,847577,12,639456124e,N,331f,aedf2f,7e495a,c7d19494d7,c586,0,1,edce,c4e8,Series 2,5353849,d4cd,07bb1d,c4e8,1000000,N,0,0,efc5,1,12,Single,Graduate,NRI,a9,a9,aa,IT CONSULTANT  TCS,,Graduate,N,HINDI,800004,N,Service,Yearly
99,No,18/1/21,203b728fdf,beadf5da5d,5e9ab8,2483,50000,737929,10,f593555563,N,e62e,b78361,9017cd,b7fba9f90b,f7b0,0,1,edce,c4e8,Series 2,9529322,d4cd,aebe24,c4e8,0,N,0,0,2734,0,1f,Married,School (upto 10th),INDIA,a9,a9,aa,SELF-EMPLOYED,,Below SSC,N,HINDI,250000,N,Self-Employed,Yearly
100,No,6/1/21,525d89d5cb,45f07be19a,d52781,58,50000,731959,12,1e7274cf13,N,e62e,b78361,a9dca2,e41e6d59ef,f7b0,0,1,edce,c4e8,Series 2,9976143,d4cd,aebe24,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,AGRICULTURIST,,Graduate,N,HINDI,600000,N,Agriculturist,Yearly
101,No,6/1/21,542737fbbc,63a08f5a5b,c0ee6d,58,1000000,245551,10,72ce5d3503,N,331f,766048,7e495a,659e326fd5,047e,0,1,edce,c4e8,Series 3,5622711,738a,41efd3,c4e8,1250000,Y,0,0,4caa,1,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,GUJARATI,924000,N,Retired,Single
102,No,1/1/21,7f60c8a638,fbfb8a2e5b,95c77f,2483,25000,770799,10,93a1beae2c,N,e62e,b78361,3b96bd,1a9caf5ebb,f7b0,0,1,edce,c4e8,Plan T - Series 2,5324103,d4cd,189fac,c4e8,250000,N,0,0,e548,0,1f,Married,Graduate,INDIA,a9,a9,aa,TRADERS,,Graduate,N,HINDI,400000,N,Business,Yearly
103,No,8/1/21,c636a9cfe8,a737c55f32,ac3235,58,204500,272559,12,6c2d4882cb,N,331f,f114ce,7e495a,0db2ff7b77,eca2,0,1,edce,2ed4,Series 1,9563870,d4cd,6fa4bd,803,1410000,Y,0,0,671a,0,12,Married,Graduate,INDIA,a9,a9,aa,SELF-EMPLOYED,,Graduate,N,HINDI,3500000,N,Self-Employed,Yearly
104,No,4/1/21,309de4148e,6f97b1cee1,7412b2,2483,100000,227559,10,6a8c0df612,N,e62e,f114ce,3fa298,8243e02ea7,eca2,0,1,a48c,c4e8,Series 2,5349909,d4cd,f6e22c,c4e8,0,N,0,0,2734,,1f,Married,PG / Professional,INDIA,a9,a9,aa,RETIRED,,Post Graduate,N,HINDI,600000,N,Retired,Yearly
105,No,4/1/21,0a60df8961,5df3a226f4,ea2314,58,50000,797954,12,6adc4f5c0f,N,e62e,b78361,33e0a6,fb269d5f47,f7b0,0,1,a48c,c4e8,Series 2,5103941,d4cd,79a06f,,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,CONSTABLE,,Graduate,N,HINDI,540000,N,CRPF,Yearly
106,No,5/1/21,5717462954,21f42ae10b,abab0e,2483,500000,867559,5,89a55df046,N,e62e,aedf2f,b970fb,ea0b2fd80b,c586,0,1,,c4e8,Plan Gold Cover - Series 3,5610856,738a,2a5e2e,c4e8,625000,Y,0,0,2a44,0,ee,Single,Graduate,INDIA,a9,a9,9c,RETIRED,,Graduate,N,HINDI,2400000,N,Retired,Single
107,No,4/1/21,73b9a0725e,c33cdb00ef,324b21,58,30000,122728,10,56385b84a6,N,e62e,b629fd,709b69,8fbe4c73a6,b629,0,0,a48c,c4e8,Series 2,5044387,d4cd,d37e51,c4e8,0,N,0,0,2734,0,1b,Married,School (upto 10th),INDIA,a9,a9,9c,COCONUT BUSINESS,,Below SSC,N,TELGU,480000,N,Business,Yearly
108,,4/1/21,b4e6dbc59c,b3acd538ed,b25517,58,200000,258579,10,5a382c3484,N,e62e,f114ce,4a37e3,72f38f4590,eca2,0,1,,c4e8,Series 2,5321487,d4cd,c055e1,c4e8,0,N,0,0,2734,0,3d,widowed,Graduate,INDIA,a9,a9,9c,FAMILY PENSION,,Graduate,N,HINDI,660000,N,Family Pension,Yearly
109,No,6/1/21,d518b1a42f,50aaf4f48b,5cb653,58,50000,288521,12,721c5170ad,N,e62e,f114ce,dffbc4,59d9d10202,eca2,0,1,edce,c4e8,Series 2,9990921,d4cd,9709ef,c4e8,500000,N,0,0,efc5,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,PROPRIETOR,,HSC,N,ENGLISH,600000,N,Business,Yearly
110,No,6/1/21,9069298684,eef37aba42,701784,58,204500,756579,15,c33a84a290,N,e62e,b78361,bb83f7,c863917794,f7b0,0,1,edce,2ed4,Series 3,5397183,d4cd,800dc7,803,1680000,N,0,0,56ca,0,1b,Married,PG / Professional,INDIA,a9,a9,9c,HOUSEWIFE,,Post Graduate,N,ENGLISH,1440000,N,Housewife,Yearly
111,No,4/1/21,12a93fc0e5,626324e21b,ad588e,58,16063.48,228559,10,b00fc9e321,N,e62e,f114ce,6be84a,25b3cea2e5,eca2,0,1,edce,2ed4,Series 2,5141077,d4cd,f7f79e,5743,500000,N,0,0,81db,0,3d,Married,Graduate,INDIA,a9,a9,9c,SWEEPER,,Graduate,N,HINDI,480000,N,Service,Yearly
112,No,15/1/21,ec29b75ca3,8abb45ed83,3fc0a0,58,800000,287559,10,100fe3bc64,N,e62e,f114ce,9.30E+240,4e38b38510,eca2,0,1,edce,c4e8,Series 2,5833274,d4cd,9709ef,c4e8,8000000,Y,0,0,8625,1,1b,Married,Graduate,INDIA,a9,a9,9c,HOUSEWIFE,,Graduate,N,HINDI,3264000,N,Housewife,Yearly
113,No,8/1/21,7dacd5630d,d0fbcc01bf,740910,2483,37305.92,804559,10,d642374f0f,N,e62e,acb844,898714,966be7cade,c586,0,0,edce,2ed4,Series 2,9923664,d4cd,2df4bf,5743,500000,N,0,0,81db,1,1f,Married,Graduate,INDIA,a9,a9,aa,LECTURER LOOK,,Graduate,N,HINDI,600000,N,Service,Yearly
114,No,5/1/21,3167cd4757,dd149b01ac,7c5bdf,58,50000,297559,12,8fe360b75e,N,331f,f114ce,7e495a,93f43c79b7,eca2,0,1,a48c,c4e8,Series 2,5470399,d4cd,e0ae66,c4e8,500000,N,0,0,efc5,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,OWNER,,HSC,N,HINDI,250000,N,Business,Yearly
115,No,2/2/21,c4030da5dc,a0ef28a541,ea2314,58,150000,799552,10,46912b36e7,N,e62e,b78361,eabebc,2d708a5f0c,,1,1,edce,c4e8,Plan Gold Cover - Series 3,9762824,d4cd,79a06f,c4e8,1500000,N,0,0,2a44,0,1f,Married,Graduate,INDIA,a9,a9,aa,PROPRIETOR,,Graduate,N,HINDI,720000,N,Business,Yearly
116,No,4/1/21,2ab7d3bf69,3c9dca4084,b94056,2483,51125,729253,15,2086095ea1,N,331f,b78361,7e495a,268c0e3949,f7b0,0,0,a48c,2ed4,Series 3,93265569,d4cd,8bef14,803,120000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,CLOTH STORE,,Graduate,N,HINDI,360000,N,Business,Yearly
117,No,4/1/21,3995d48395,48a357f510,ea2314,58,51125,799599,15,d0b8f65b7b,N,e62e,b78361,612c5d,1e771cf2e6,f7b0,0,1,a48c,2ed4,Series 3,5187180,d4cd,79a06f,803,420000,N,0,0,56ca,0,12,Single,Graduate,INDIA,a9,a9,aa,SR DIGINER,,Graduate,N,HINDI,600000,N,Service,Yearly
118,No,7/1/21,2bcd283856,8970956204,193508,58,150000,222358,12,878c97ed26,N,e62e,f114ce,b7265f,a922dd4515,eca2,0,1,edce,c4e8,Series 2,5184546,d4cd,f7f79e,c4e8,1500000,N,0,0,efc5,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,TEACHER,,Post Graduate,N,HINDI,960000,N,Service,Yearly
119,No,30/1/21,dacc6f2949,e1de654097,7f7eaa,2483,5000,784342,15,420e297324,N,331f,b78361,7e495a,c420ca3948,047e,0,1,edce,2ed4,Series 2,5047819,d4cd,4acef8,5743,95000,N,0,0,b68b,1,12,Single,Intermediate (10+2),INDIA,a9,a9,aa,,,HSC,N,HINDI,300000,N,Business,Yearly
120,No,5/1/21,c87500173d,ee0b832eeb,29d6d1,58,51125,732594,15,d862878df6,N,331f,b78361,7e495a,be2caac7e0,f7b0,0,1,,2ed4,Series 3,93566770,d4cd,aebe24,803,120000,N,0,0,56ca,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,SENIOR CATEGORY ANALYST,,Post Graduate,N,HINDI,1213500,N,Service,Yearly
121,No,6/1/21,24d7f98ae3,6a14078a86,026e6f,58,50000,259559,12,50de1de7f1,N,e62e,f114ce,43b0ea,5cb219dcd5,eca2,0,1,edce,c4e8,Series 2,5002005,d4cd,f6e22c,c4e8,500000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,HINDI,540000,Y,Service,Yearly
122,No,13/1/21,b795f1a791,d1c4f62a00,1f117a,2483,150000,859159,12,1369552b7e,N,e62e,c0a4a4,324eee,a98f7a6f8d,0ff1,1,1,edce,c4e8,Series 2,9587099,d4cd,c70f9c,c4e8,1500000,N,0,0,efc5,0,42,Married,Intermediate (10+2),INDIA,a9,a9,aa,PROPRIETOR MECHANIC,,HSC,N,ENGLISH,1000000,N,Business,Yearly
123,No,6/1/21,26bb95a6c2,38886042df,a8d81d,58,204500,801433,15,66e8dbae55,N,f3e3,acb844,1f892d,38dc2c7290,c586,0,1,edce,2ed4,Series 3,5,d4cd,4a3ec2,803,1540000,N,0,0,56ca,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,CONTRACTORE,,Post Graduate,N,ENGLISH,1200000,N,Business,Yearly
124,No,5/1/21,ae0e616291,e9b44d50de,36cbed,2483,23405.02,749752,12,5faf5a529b,N,e62e,b78361,676cce,ec487846b3,f7b0,0,1,edce,803,Series 3,9998785,d4cd,88af36,803,50000,N,0,0,5876,0,1f,Married,Intermediate (10+2),INDIA,a9,a9,aa,AGRICULTURIST,,HSC,N,HINDI,240000,N,Agriculturist,Yearly
125,No,2/1/21,a0d252c06f,40720ddd27,1.12E+32,2483,18257.24,802442,15,419ea7d7c2,N,331f,acb844,7e495a,b83ae9b76e,c586,0,0,a48c,2ed4,Series 3,5143341,d4cd,5a1ea0,66c3,205000,N,0,0,7d8e,0,1b,Married,PG / Professional,INDIA,a9,a9,9c,HUSBAIND INCOM,,Post Graduate,N,HINDI,144000,N,Self-Employed,Yearly
126,No,5/1/21,eb8d6bd7fc,598f7d18a4,c20544,58,139714.4,257575,15,b7884b36d7,N,f3e3,f114ce,c51a88,ee239ef1b1,eca2,0,0,a48c,2ed4,Series 3,5,d4cd,6a6446,66c3,1000000,N,0,0,7d8e,0,1f,Married,PG / Professional,INDIA,a9,a9,aa,ARCHITECT,,Post Graduate,N,ENGLISH,400000,N,Business,Yearly
127,No,1/1/21,119dea07ac,f318c23e11,3fc0a0,58,150000,287573,10,62fd949f13,N,e62e,f114ce,d651cb,20d62a19f7,eca2,0,0,a48c,c4e8,Series 2,9964790,d4cd,9709ef,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,RETIRED,,Graduate,N,HINDI,600000,N,Retired,Yearly
128,No,1/1/21,4810fe735a,549325593c,b94056,58,102250,729159,12,ffeb448704,N,e62e,b78361,703937,c024b6d787,f7b0,0,1,a48c,2ed4,Series 3,5016599,d4cd,189fac,803,600000,N,0,0,56ca,0,1f,Married,Graduate,INDIA,a9,a9,aa,DAIRY UDYOG,,Graduate,N,HINDI,600000,N,Business,Yearly
129,No,7/1/21,d3ce40b865,cbf4a1037c,c20544,58,18086.34,257529,5,15eca7b816,N,e62e,f114ce,742f37,ecd9ce2ace,eca2,0,1,edce,2ed4,Level Term Assurance - Series 3,5688457,d4cd,f6e22c,5743,2200000,N,0,0,0ff4,1,1f,Married,Graduate,INDIA,a9,a9,aa,STAFF,,Graduate,N,HINDI,780000,Y,Service,Yearly
130,No,12/1/21,6193818bc7,2c8d24e2f8,b79d19,58,150000,207591,10,e95ede0205,N,331f,766048,7e495a,bea0715a20,047e,0,1,,c4e8,Series 2,5957182,d4cd,ecc1a4,c4e8,0,Y,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,NURS,,Graduate,Y,ENGLISH,540000,N,Service,Yearly
131,No,6/1/21,d4885eec0e,95a4cb91c1,5e9ab8,2483,10416.2,737932,11,83b8e2c22e,N,331f,b78361,7e495a,c1075d310f,f7b0,0,1,edce,2ed4,Endowment Plan - Series 4,94193958,d4cd,aebe24,803,100000,N,0,0,1bb6,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHERS,,Graduate,N,HINDI,3600000,N,Service,Yearly
132,No,8/1/21,208b3650b0,f530b42e08,324b21,58,200000,122552,18,a00b564d7e,N,e62e,b629fd,58adfd,09e8079679,b629,0,1,edce,c4e8,Series 3,9555739,d4cd,d37e51,c4e8,2000000,N,0,0,d2a9,0,c7,Married,PG / Professional,INDIA,a9,a9,aa,TEAM LEADER,,Post Graduate,N,ENGLISH,960000,N,Service,Yearly
133,No,6/1/21,370a515f94,6c9b9ab484,c20544,58,40000,252158,,5b0dee8461,N,331f,f114ce,7e495a,29e7f3a530,eca2,0,1,5fd3,c4e8,Series 2,5498421,d4cd,70ff50,c4e8,400000,N,0,0,efc5,0,1f,Married,Graduate,INDIA,a9,a9,aa,TEACHER,,Graduate,N,ENGLISH,888000,N,Service,Yearly
134,No,3/2/21,8431c9c837,8f0e4eef35,1.12E+32,58,1259.06,802227,10,eb11eab8e1,N,e62e,acb844,f29f34,0faff7d375,c586,0,1,edce,2ed4,Series 3,9503376,d4cd,4a3ec2,5743,1000000,N,0,0,e636,0,12,Married,Intermediate (10+2),INDIA,a9,a9,aa,SHOPKEEPER,,HSC,N,HINDI,450000,N,Self-Employed,Yearly
135,No,1/1/21,d4715ef2f7,5992e8339d,c8c19b,58,99000,201550,10,b2d6833f25,N,e62e,766048,49cff2,4711086ae2,047e,0,0,edce,c4e8,Series 2,9256782,,920b37,c4e8,0,N,0,0,2734,0,1b,Married,Graduate,INDIA,a9,a9,9c,RETIRED,,Graduate,N,ENGLISH,300001,N,Retired,Individual
136,No,1/1/21,216f30a518,17ec88e23e,3fc0a0,58,200000,287559,10,affe4edd8b,N,e62e,f114ce,55988b,9a074a5fa4,eca2,0,1,edce,c4e8,Series 2,5121736,d4cd,9709ef,c4e8,0,N,0,0,2734,0,1f,Married,Graduate,INDIA,a9,a9,aa,RETIRED,,Graduate,N,HINDI,600000,N,Retired,Yearly
137,No,16/1/21,154eda656d,36e90fd335,038dd2,58,27784.18,829151,30,c9337d895f,N,a3d7,c0a4a4,7e495a,1ace0f1ae4,0ff1,0,1,edce,2ed4,Level Cover - Series 4,5,bf55,c5f8bb,5743,5000000,N,0,0,3.20E+07,1,1f,Married,PG / Professional,INDIA,a9,a9,aa,ASSISTANT TEACHER,,Post Graduate,N,ENGLISH,1000000,N,Service,Half yearly
138,No,13/1/21,4.07E+82,be5ca53765,6e40dc,2483,49800,739152,12,91e0964108,N,331f,b78361,7e495a,5799f83eea,f7b0,0,1,edce,c4e8,Series 2,5494168,d4cd,ae2425,c4e8,498000,N,0,0,efc5,1,42,Single,School (upto 10th),INDIA,a9,a9,9c,SELF-EMPLOYED,,SSC,N,HINDI,249000,N,Self-Employed,Yearly
139,No,13/1/21,004e2d531a,65fc83c612,c4f06f,2483,99000,779250,10,a1b233d812,N,331f,b78361,7e495a,1531de867e,f7b0,0,1,edce,c4e8,Series 2,93265778,d4cd,8bef14,c4e8,0,N,0,0,2734,0,1b,Married,Intermediate (10+2),INDIA,a9,a9,9c,HOUSEWIFE,,HSC,N,HINDI,500000,N,Housewife,Yearly
